arm,battery,prompt_id,family,attempt,success,verified_verdict,verified,success_final,excluded,false_pass,false_fail,outcome,end_reason,clean,wall_seconds,tokens_in,tokens_out,llm_calls,legs_planned,legs_completed,leg_files,steps,halt_requests,semantic_chars,requeues,leg_retries,actor_in,actor_out,actor_calls,semantic_in,semantic_out,semantic_calls,episodic_in,episodic_out,episodic_calls,perception_in,perception_out,perception_calls,guard_in,guard_out,guard_calls,findings_in,findings_out,findings_calls,resolver_in,resolver_out,resolver_calls,decomposer_in,decomposer_out,decomposer_calls,responder_in,responder_out,responder_calls
a4,20260730_192703_context-ablation-a4,hard_01,reasoning,1,0,fail,1,0,1,0,0,operator_kill,already_successful,0,4774.4,5447455,81723,342,0,0,3,82,1,39132,0,3,3727720,19062,82,1175074,18368,83,425893,30354,82,18722,2779,17,75111,3534,74,1372,2550,1,21953,2598,2,1610,2478,1,0,0,0
a4,20260730_192703_context-ablation-a4,hard_03,reasoning,3,0,fail,1,0,1,0,0,operator_kill,already_successful,0,4111.4,23556,7066,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21953,4177,2,1603,2889,1,0,0,0
a4,20260730_192703_context-ablation-a4,hard_03,reasoning,2,0,fail,1,0,1,0,0,operator_kill,already_successful,0,4228.6,10248909,102595,365,0,0,2,115,0,42847,0,2,7895778,29942,115,1749869,22554,116,581794,41003,115,19865,6144,18,0,0,0,0,0,0,0,0,0,1603,2952,1,0,0,0
a5,20260730_051207_context-ablation-a5,easy_03,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,697.6,179452,14956,27,2,2,2,5,2,18378,0,0,50009,1152,5,79878,1114,7,17162,1511,5,4412,1687,4,1017,47,1,954,2988,1,21954,4446,2,1597,1133,1,2469,878,1
a5,20260730_051207_context-ablation-a5,easy_03,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,698.5,209837,15010,30,2,2,2,6,2,18791,0,0,64461,1321,6,92132,1396,8,20692,1758,6,4402,1654,4,1017,48,1,1006,2791,1,21954,4890,2,1597,466,1,2576,686,1
a5,20260730_051207_context-ablation-a5,easy_03,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,1144.7,337138,20165,39,2,2,2,9,2,19599,0,0,126593,1823,9,128607,1766,11,37013,2765,9,16560,4583,15,1017,54,1,984,2272,1,21954,4657,2,1597,1131,1,2813,1114,1
a5,20260730_051207_context-ablation-a5,medium_01,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1254.1,368561,22542,41,2,2,2,10,2,19469,0,0,125278,2438,10,135869,1890,12,34815,2952,10,54584,8197,50,1013,67,1,1440,3104,1,10977,1480,1,1597,645,1,2988,1769,1
a5,20260730_051207_context-ablation-a5,easy_01,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,1481.7,890578,19531,70,1,1,1,21,1,21675,0,0,522371,4896,21,249546,3497,22,78681,6549,21,24256,1254,22,1009,46,1,0,0,0,10978,1411,1,1595,414,1,2142,1464,1
a5,20260730_051207_context-ablation-a5,medium_03,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,2213.7,508173,27776,58,3,3,3,12,3,20003,0,0,134949,2632,12,180816,2638,15,52801,3610,12,102109,7318,94,7113,298,7,2398,6156,2,21955,2606,2,1602,1513,1,4430,1005,1
a5,20260730_051207_context-ablation-a5,medium_03,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2479.6,550351,29332,63,3,3,3,13,3,20386,0,0,151976,3003,13,195210,2641,16,58882,3902,13,104288,7414,96,9144,400,9,2465,6591,2,21955,3180,2,1602,973,1,4829,1228,1
a5,20260730_051207_context-ablation-a5,easy_01,pickup,3,0,fail,1,0,0,0,0,completed,time_cap,1,4968.8,4924572,68896,246,1,0,2,79,0,37219,0,1,3421635,18736,79,1052758,13945,79,329614,24947,79,95733,7553,87,6102,342,6,0,0,0,10978,911,1,1595,1062,1,6157,1400,1
a5,20260730_051207_context-ablation-a5,hard_03,reasoning,2,0,fail,1,0,0,0,0,completed,halt_forced,1,1416.2,150555,13427,33,4,1,3,2,7,17767,0,0,14455,529,2,104844,1698,9,3506,550,2,0,0,0,0,0,0,989,2915,1,21953,3737,2,1603,2743,1,3205,1255,1
a5,20260730_051207_context-ablation-a5,easy_01,pickup,1,0,fail,1,0,0,0,0,completed,time_cap,1,5050.6,4124640,69729,217,1,0,2,70,0,35401,0,1,2813309,15822,70,909881,12328,70,287517,21629,70,91607,16294,83,4068,193,4,0,0,0,10978,1124,1,1595,492,1,5685,1847,1
a5,20260730_051207_context-ablation-a5,medium_03,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,4515.4,1822507,53930,141,3,3,3,38,3,27150,0,0,858442,8611,38,518527,6944,41,187806,11425,38,212213,14768,195,12192,497,12,3663,5993,2,21955,3001,2,1602,1659,1,6107,1032,1
a5,20260730_051207_context-ablation-a5,hard_01,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,3607.0,781439,46082,117,4,4,4,19,5,22293,0,0,244687,5465,19,306722,4580,24,90476,5926,19,57983,11140,53,47367,2455,38,4010,9332,3,21953,2776,2,1610,2791,1,6631,1617,1
a5,20260730_051207_context-ablation-a5,hard_01,reasoning,1,0,fail,1,0,0,0,0,completed,time_cap,1,5138.2,3289527,65187,190,4,0,2,60,0,31741,0,0,2100351,13952,60,762903,10778,60,262247,18253,60,129065,16341,117,6092,287,6,0,0,0,21953,2508,2,1610,2104,1,5306,964,1
a5,20260730_051207_context-ablation-a5,hard_01,reasoning,3,1,fail,1,0,0,1,0,completed,halt_granted,1,3864.4,862224,43695,122,4,4,4,20,5,22591,0,0,276566,5102,20,322476,4447,25,87089,6730,20,90650,9120,83,50977,2515,40,3989,9609,3,21953,2771,2,1610,2331,1,6914,1070,1
a5,20260730_051207_context-ablation-a5,medium_01,checkout,2,0,invalid,1,0,1,0,0,completed,time_cap,1,6620.2,5570377,87998,287,2,1,3,93,1,39028,0,1,3761608,26453,93,1356081,17016,94,378107,29812,93,52615,8016,48,1016,44,1,1798,3220,1,10977,1452,1,1597,598,1,6578,1387,1
a5,20260730_051207_context-ablation-a5,medium_01,checkout,3,0,invalid,1,0,1,0,0,completed,time_cap,1,6660.9,7694466,96156,347,2,1,3,113,1,46444,0,1,5411885,29901,113,1768310,20942,114,455639,34970,113,38540,3682,35,1016,53,1,1985,3210,1,10977,1521,1,1597,768,1,4517,1109,1
a5,20260730_051207_context-ablation-a5,hard_03,reasoning,3,0,fail,1,0,0,0,0,completed,time_cap,1,4998.6,7284240,110519,312,3,0,2,103,0,44639,0,0,5302446,26143,103,1510065,20060,103,376700,33420,103,77292,25145,71,0,0,0,0,0,0,10977,1957,1,1603,2491,1,5157,1303,1
a5,20260730_051207_context-ablation-a5,hard_03,reasoning,1,0,fail,1,0,0,0,0,harness_timeout,,0,7320.0,12579,4865,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10976,2904,1,1603,1961,1,0,0,0
a6-2,20260730_080607_context-ablation-a6-2,easy_03,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,524.3,180034,15171,27,2,2,2,5,2,18572,0,0,49115,1066,5,79700,1212,7,18828,1551,5,4376,1654,4,1017,38,1,946,2893,1,21954,4387,2,1597,1187,1,2501,1183,1
a6-2,20260730_080607_context-ablation-a6-2,easy_03,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,538.7,183471,15038,27,2,2,2,5,2,18423,0,0,50011,1089,5,81034,1124,7,19747,1571,5,4406,1579,4,1017,49,1,987,3280,1,21954,4376,2,1597,890,1,2718,1080,1
a6-2,20260730_080607_context-ablation-a6-2,easy_03,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,567.0,180247,16476,27,2,2,2,5,2,18556,0,0,49015,1166,5,79922,1109,7,18828,1417,5,4392,1619,4,1017,53,1,957,2714,1,21954,4857,2,1597,1728,1,2565,1813,1
a6-2,20260730_080607_context-ablation-a6-2,medium_01,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,755.4,326421,19731,38,2,2,2,9,2,19176,0,0,103212,2194,9,124366,1778,11,39732,3019,9,41362,5817,38,1013,47,1,1368,3161,1,10977,1632,1,1597,896,1,2794,1187,1
a6-2,20260730_080607_context-ablation-a6-2,medium_01,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,954.3,256421,16526,32,2,2,2,7,2,18773,0,0,70911,1578,7,101931,1465,9,26748,2279,7,39156,5141,36,1013,49,1,1264,2671,1,10977,1290,1,1597,1079,1,2824,974,1
a6-2,20260730_080607_context-ablation-a6-2,easy_01,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1022.5,627550,17080,58,1,1,1,17,1,20213,0,0,300522,3924,17,202176,2873,18,81789,5980,17,27505,1160,25,1009,46,1,0,0,0,10978,911,1,1595,940,1,1976,1246,1
a6-2,20260730_080607_context-ablation-a6-2,medium_01,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1107.9,256545,17711,32,2,2,2,7,2,18777,0,0,69774,1542,7,101137,1490,9,25613,2100,7,42467,6065,39,1013,35,1,1257,2954,1,10977,1368,1,1597,931,1,2710,1226,1
a6-2,20260730_080607_context-ablation-a6-2,medium_03,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,2136.7,515655,30274,58,3,3,3,12,3,20249,0,0,132171,2814,12,181288,2479,15,58143,3882,12,106441,7758,98,7113,345,7,2451,6879,2,21955,3189,2,1602,1750,1,4491,1178,1
a6-2,20260730_080607_context-ablation-a6-2,medium_03,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2154.9,515986,29458,58,3,3,3,12,3,20244,0,0,132165,2629,12,181780,2428,15,57952,3870,12,106420,7797,98,7113,293,7,2427,6659,2,21955,2887,2,1602,1641,1,4572,1254,1
a6-2,20260730_080607_context-ablation-a6-2,hard_01,reasoning,1,1,pass,1,1,0,0,0,completed,halt_granted,1,2669.8,795763,42944,114,4,4,4,20,4,21647,0,0,255771,4556,20,302244,4180,24,106955,6659,20,53396,8734,49,43560,2174,35,3829,10101,3,21953,2611,2,1610,1987,1,6445,1942,1
a6-2,20260730_080607_context-ablation-a6-2,hard_01,reasoning,3,1,pass,1,1,0,0,0,completed,halt_granted,1,2383.1,701122,39289,99,4,4,4,17,4,21362,0,0,221009,4666,17,274406,4496,21,89404,5343,17,45761,6028,42,37268,2037,29,3456,9740,3,21953,2895,2,1610,2250,1,6255,1834,1
a6-2,20260730_080607_context-ablation-a6-2,hard_01,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2634.3,823949,44044,115,4,4,4,20,5,22496,0,0,247445,4746,20,316118,4673,25,100316,6817,20,85080,10199,78,40969,1956,33,3937,9515,3,21953,2428,2,1610,1856,1,6521,1854,1
a6-2,20260730_080607_context-ablation-a6-2,hard_03,reasoning,1,1,fail,1,0,0,1,0,completed,halt_granted,1,2941.9,2221236,56296,172,4,4,4,37,7,27789,0,0,1227841,9175,37,604509,8314,44,238374,12634,37,80387,6891,73,33903,2632,33,5726,8971,3,21954,3361,2,1603,2848,1,6939,1470,1
a6-2,20260730_080607_context-ablation-a6-2,easy_01,pickup,2,0,fail,1,0,0,0,0,completed,time_cap,1,4925.0,4700113,86575,258,1,0,2,83,0,39896,0,1,2971048,19147,83,1117311,14817,83,464005,31055,83,125033,18719,113,6096,272,6,0,0,0,10978,1133,1,1595,230,1,4047,1202,1
a6-2,20260730_080607_context-ablation-a6-2,easy_01,pickup,3,0,fail,1,0,0,0,0,completed,time_cap,1,4968.2,4415887,87705,246,1,0,2,78,0,39823,0,1,2794090,20854,78,1054368,14822,78,465859,29098,78,75465,19514,68,9145,474,9,0,0,0,10978,909,1,1595,893,1,4387,1141,1
a6-2,20260730_080607_context-ablation-a6-2,hard_03,reasoning,2,0,fail,1,0,0,0,0,completed,time_cap,1,4993.2,7258581,112352,346,3,0,2,113,1,47532,0,0,4904949,28176,113,1718324,21962,114,564166,39549,113,50902,16685,46,1416,92,1,0,0,0,10977,2455,1,1603,2444,1,6244,989,1
a6-2,20260730_080607_context-ablation-a6-2,medium_03,checkout,1,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.0,23557,5252,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21955,2686,2,1602,2566,1,0,0,0
a6-2,20260730_080607_context-ablation-a6-2,hard_03,reasoning,3,0,fail,1,0,0,0,0,completed,time_cap,1,5637.9,6436751,116841,348,4,2,4,92,7,43442,0,0,3995038,25536,92,1629093,20490,99,592236,32205,92,129668,17927,114,44447,3630,43,2070,5942,2,36979,6728,3,1603,2671,1,5617,1712,1
a6-4,20260730_102443_context-ablation-a6-4,easy_03,pickup,3,1,pass,1,1,0,0,0,completed,halt_granted,1,500.8,183241,14256,27,2,2,2,5,2,18508,0,0,51887,1064,5,80023,1111,7,18952,1410,5,4394,1654,4,1017,47,1,937,2889,1,21954,4120,2,1597,878,1,2480,1083,1
a6-4,20260730_102443_context-ablation-a6-4,easy_03,pickup,1,1,pass,1,1,0,0,0,completed,halt_granted,1,504.5,183210,13806,27,2,2,2,5,2,18432,0,0,51874,1089,5,79966,1097,7,18964,1390,5,4410,1585,4,1017,43,1,941,2647,1,21954,3882,2,1597,820,1,2487,1253,1
a6-4,20260730_102443_context-ablation-a6-4,easy_01,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,504.9,199112,8169,25,1,1,1,6,1,18358,0,0,71851,1490,6,76344,1073,7,24965,1889,6,11062,602,10,1009,46,1,0,0,0,10978,891,1,1595,653,1,1308,1525,1
a6-4,20260730_102443_context-ablation-a6-4,easy_03,pickup,2,1,pass,1,1,0,0,0,completed,halt_granted,1,551.7,182722,15296,27,2,2,2,5,2,18456,0,0,51743,1074,5,79792,1170,7,18818,1546,5,4400,1619,4,1017,48,1,931,2979,1,21954,4950,2,1597,733,1,2470,1177,1
a6-4,20260730_102443_context-ablation-a6-4,medium_01,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,1254.7,795179,27569,75,2,2,2,21,2,21448,0,0,350555,5114,21,269040,3632,23,103305,6927,21,52358,5312,48,2038,75,2,1768,3829,1,10977,1345,1,1597,270,1,3541,1065,1
a6-4,20260730_102443_context-ablation-a6-4,medium_01,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1360.1,408787,24081,44,2,2,2,11,2,19592,0,0,145273,2517,11,147244,2058,13,47006,3546,11,51320,9304,47,1013,53,1,1496,3246,1,10977,1498,1,1597,863,1,2861,996,1
a6-4,20260730_102443_context-ablation-a6-4,medium_03,checkout,1,1,pass,1,1,0,0,0,completed,halt_granted,1,1927.6,529105,29310,58,3,3,3,12,3,20404,0,0,142058,2756,12,184710,2504,15,60034,3781,12,104285,7454,96,7113,311,7,2516,7184,2,21955,2661,2,1602,1820,1,4832,839,1
a6-4,20260730_102443_context-ablation-a6-4,medium_03,checkout,2,1,pass,1,1,0,0,0,completed,halt_granted,1,1988.9,525208,29417,58,3,3,3,12,3,20385,0,0,140239,2709,12,181522,2849,15,58168,3708,12,107555,7691,99,7113,290,7,2426,6826,2,21955,2581,2,1602,1526,1,4628,1237,1
a6-4,20260730_102443_context-ablation-a6-4,medium_03,checkout,3,1,pass,1,1,0,0,0,completed,halt_granted,1,2168.4,606984,32029,64,3,3,3,14,3,20684,0,0,178776,3321,14,208046,2835,17,72817,4513,14,109699,7744,101,7113,306,7,2440,6672,2,21955,2686,2,1602,2908,1,4536,1044,1
a6-4,20260730_102443_context-ablation-a6-4,hard_01,reasoning,2,1,fail,1,0,0,1,0,completed,halt_granted,1,2589.4,751002,39972,127,4,4,4,17,5,21982,0,0,206609,3938,17,279131,3808,22,79390,5307,17,83913,7951,77,68129,3897,54,3814,9580,3,21953,2323,2,1610,1625,1,6453,1543,1
a6-4,20260730_102443_context-ablation-a6-4,hard_03,reasoning,1,1,fail,1,0,0,1,0,completed,halt_granted,1,1922.9,645885,32228,74,4,4,4,15,4,21404,0,0,237323,3602,15,242521,3325,19,79875,4808,15,53562,4460,49,10531,743,10,3702,8881,3,10977,1291,1,1603,3244,1,5791,1874,1
a6-4,20260730_102443_context-ablation-a6-4,hard_01,reasoning,3,1,fail,1,0,0,1,0,completed,halt_granted,1,2950.6,1184428,52343,146,4,4,4,27,5,23745,0,0,432316,6503,27,408184,5298,32,135204,8858,27,122485,14260,112,52495,2637,43,4239,8850,3,21953,2648,2,1610,1996,1,5942,1293,1
a6-4,20260730_102443_context-ablation-a6-4,easy_01,pickup,1,0,fail,1,0,0,0,0,completed,time_cap,1,4988.7,4424383,76428,244,1,0,2,78,0,38090,0,1,2824978,18608,78,1039432,13843,78,436462,28434,78,100190,12354,91,7117,323,7,0,0,0,10978,1133,1,1595,335,1,3631,1398,1
a6-4,20260730_102443_context-ablation-a6-4,hard_01,reasoning,1,0,invalid,1,0,1,0,0,completed,halt_forced,1,5031.9,1774923,65203,397,4,2,4,34,8,27556,0,0,584839,10127,34,573617,8493,42,211817,11835,34,30916,4535,28,341238,17655,265,2902,5956,2,21953,2754,2,1610,1741,1,6031,2107,1
a6-4,20260730_102443_context-ablation-a6-4,medium_01,checkout,2,0,invalid,1,0,1,0,0,completed,time_cap,1,5649.5,7641111,105551,362,2,1,3,118,1,46908,0,1,5085616,33095,118,1871229,23227,119,635671,40514,118,27525,1850,25,1016,45,1,1686,3158,1,10977,1366,1,1597,856,1,5794,1440,1
a6-4,20260730_102443_context-ablation-a6-4,hard_03,reasoning,3,1,pass,1,1,0,0,0,completed,halt_granted,1,3626.4,1660806,61843,128,4,4,4,30,5,25675,0,0,815884,7771,30,486417,6441,35,181244,9851,30,124480,17580,113,15620,1553,15,4734,10723,3,24072,3448,2,1603,2524,1,6752,1952,1
a6-4,20260730_102443_context-ablation-a6-4,easy_01,pickup,3,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.0,12573,1394,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10978,1187,1,1595,207,1,0,0,0
a6-4,20260730_102443_context-ablation-a6-4,hard_03,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,5772.1,3548026,113257,260,10,10,10,55,14,34380,0,0,1546505,13851,55,1260220,12752,69,411414,17929,55,202047,15864,185,36949,2989,36,15279,31240,9,65862,13087,6,1603,3318,1,8147,2227,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_04,reasoning,1,1,pass,1,1,0,0,0,completed,halt_granted,1,316.8,217569,12355,29,1,1,1,6,2,18477,0,0,77581,1264,6,87866,1222,8,27225,1786,6,8880,2877,8,2028,132,2,0,0,0,10980,2088,1,1595,1347,1,1414,1639,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_04,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,402.6,206717,12832,25,1,1,1,6,1,18486,0,0,77744,1400,6,76565,1154,7,27495,1807,6,9901,3198,9,1014,72,1,0,0,0,10980,2677,1,1595,1224,1,1423,1300,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_04,reasoning,3,1,pass,1,1,0,0,0,completed,halt_granted,1,467.9,218453,12616,29,1,1,1,6,2,18583,0,0,77418,1274,6,87908,1289,8,27122,1733,6,9931,3223,9,2028,136,2,0,0,0,10980,2797,1,1595,1157,1,1471,1007,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_03,reasoning,3,1,fail,1,0,0,1,0,completed,halt_granted,1,1750.3,478001,28113,54,3,3,3,11,3,19895,0,0,158124,2545,11,170829,3795,14,54234,3259,11,57988,5272,53,6109,278,6,2580,6370,2,21953,2642,2,1603,2767,1,4581,1185,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_03,reasoning,1,0,,0,0,0,0,0,agent_error,halt_granted,0,2097.5,1169738,34156,16,4,2,3,20,4,23200,0,0,645841,5323,21,333978,4872,25,126497,7347,21,33957,3449,30,11568,816,11,1685,6153,2,10977,1564,1,1603,3180,1,3632,1452,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_01,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,2690.5,747956,39224,111,4,4,4,18,4,21411,0,0,243490,4272,18,280761,4021,22,89891,6336,18,51298,6854,47,48673,2409,38,3808,9560,3,21953,2430,2,1610,1959,1,6472,1383,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_01,reasoning,3,0,,0,0,1,0,0,operator_kill,already_successful,0,2703.0,839566,37160,120,0,0,4,20,5,23042,0,4,307489,5257,21,336349,5090,26,110075,6213,20,15469,4463,14,42532,2094,33,4089,9226,3,21953,2691,2,1610,2126,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_01,reasoning,1,0,,0,0,1,0,0,operator_kill,already_successful,0,2703.0,1821296,47114,189,0,0,2,34,1,25551,0,2,1084785,8331,34,446286,6386,35,177766,13520,34,58183,10149,53,29349,1456,29,1364,3014,1,21953,2351,2,1610,1907,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_02,reasoning,1,0,,0,0,0,0,0,completed,halt_forced,1,3172.8,1546590,53721,173,4,1,3,33,10,28237,0,0,679747,7628,33,553848,7830,43,186865,11010,33,55039,14184,50,39435,2666,39,1869,3216,1,21952,3204,2,1602,2658,1,6233,1325,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_03,reasoning,2,1,fail,1,0,0,1,0,completed,halt_granted,1,3438.8,1772926,47500,134,4,4,4,29,6,25218,0,0,1003140,7187,29,466241,7156,35,178301,9014,29,67251,6122,61,22724,1775,22,4760,8440,3,21954,3256,2,1603,3193,1,6952,1357,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_07,reasoning,1,1,pass,1,1,0,0,0,completed,halt_granted,1,393.6,132203,10440,19,1,1,1,4,1,18042,0,0,42306,983,4,54422,799,5,15029,1178,4,5557,1804,5,1016,49,1,0,0,0,10982,2743,1,1597,1733,1,1294,1151,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_06,reasoning,3,0,,0,0,0,0,0,agent_error,,0,1353.7,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_07,reasoning,3,0,,0,0,1,0,0,operator_kill,already_successful,0,1753.7,1129885,29919,73,0,0,2,22,4,23356,0,2,675398,8004,22,308670,5803,26,122263,8798,22,0,0,0,0,0,0,0,0,0,21957,4702,2,1597,2612,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_07,reasoning,2,0,,0,0,1,0,0,operator_kill,already_successful,0,1810.5,1205604,26173,90,0,0,1,23,0,23490,0,1,771260,6896,24,284083,4766,24,118733,9356,23,18953,262,17,0,0,0,0,0,0,10978,2812,1,1597,2081,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_05,reasoning,1,0,,0,0,0,0,0,agent_error,halt_granted,0,2118.8,87006,17157,20,4,3,3,1,3,17358,0,0,6840,254,1,45212,678,4,1355,259,1,2198,92,2,2813,145,2,1625,5761,2,21956,4698,2,1603,3659,1,3404,1611,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_05,reasoning,2,0,,0,0,0,0,0,completed,time_cap,1,5378.7,4342798,63579,210,3,0,2,69,0,37159,0,0,2978694,18355,69,969440,16176,69,352538,24768,69,33141,210,30,0,0,0,0,0,0,0,0,0,1603,2674,1,7382,1396,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_02,reasoning,3,0,,0,0,0,0,0,harness_timeout,,0,7320.0,2816230,57908,193,0,0,2,47,0,30412,0,2,1899159,14553,48,613469,9551,48,237250,16977,47,53773,12624,48,0,0,0,0,0,0,10977,2203,1,1602,2000,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_02,reasoning,2,0,,0,0,0,0,0,harness_timeout,,0,7320.0,2777021,81875,337,0,0,4,44,5,33520,0,4,1459803,19181,45,733549,11793,50,325179,18347,45,16867,5730,15,215363,12818,177,2700,5829,2,21958,4782,2,1602,3395,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_05,reasoning,3,0,,0,0,0,0,0,completed,time_cap,1,5302.6,4402295,70499,210,3,0,2,69,0,36029,0,0,3032386,19712,69,974572,17256,69,364004,25779,69,11331,70,10,0,0,0,0,0,0,10978,3353,1,1603,2865,1,7421,1464,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_06,reasoning,1,0,,0,0,0,0,0,completed,time_cap,1,5304.4,5600324,74258,247,5,0,2,81,0,39110,0,0,3997919,21714,81,1140740,16010,81,400206,26381,81,33795,210,30,0,0,0,0,0,0,21957,5428,2,1605,3486,1,4102,1029,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_06,reasoning,2,0,,0,0,0,0,0,completed,time_cap,1,5391.1,4545467,73654,217,5,0,2,71,0,37922,0,0,3162570,22002,71,975474,14260,71,372692,27306,71,6661,772,6,0,0,0,0,0,0,21957,4286,2,1605,3576,1,4508,1452,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_08,reasoning,1,0,,0,0,0,0,0,completed,time_cap,1,5212.6,4919860,80500,225,2,0,2,74,0,41843,0,0,3466586,21794,74,1021082,16210,74,387859,27950,74,26776,8540,24,0,0,0,0,0,0,10980,2139,1,1596,2033,1,4981,1834,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_08,reasoning,2,0,,0,0,0,0,0,completed,time_cap,1,5110.0,5517509,93701,240,2,0,2,79,0,41156,0,0,3926300,19545,79,1100974,16497,79,394820,27933,79,77765,23926,71,0,0,0,0,0,0,10980,2435,1,1596,2025,1,5074,1340,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_08,reasoning,3,0,,0,0,0,0,0,completed,time_cap,1,5160.3,5008382,74580,228,2,0,2,75,0,39856,0,0,3524764,18811,75,1053319,16057,75,390513,29690,75,22295,4322,20,0,0,0,0,0,0,10985,2119,1,1596,2253,1,4910,1328,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_11,attribute,2,1,pass,1,1,0,0,0,completed,halt_granted,1,1332.2,333143,23035,44,3,3,3,9,3,20364,0,0,99331,2212,9,148115,2385,12,39284,2949,9,13370,551,12,2433,141,2,2220,5568,2,21961,5526,2,1918,2456,1,4511,1247,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_10,reasoning,3,1,fail,1,0,0,1,0,completed,halt_granted,1,2859.8,572786,32247,117,3,3,3,14,3,21158,0,0,177031,3360,14,205073,3183,17,62964,4299,14,19725,4828,18,76508,4605,60,2729,5989,2,21953,3001,2,1617,2064,1,5186,918,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_09,reasoning,1,1,pass,1,1,0,0,0,completed,halt_granted,1,5562.9,931321,53798,95,6,6,6,21,6,22754,0,0,280150,4537,21,374599,4559,27,114517,6542,21,109778,11958,101,4059,202,4,7110,15865,5,32927,6825,3,1602,2101,1,6579,1209,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_10,reasoning,2,0,invalid,1,0,1,0,0,completed,halt_forced,1,3465.4,917752,50832,212,4,2,4,18,8,23769,0,0,238746,4738,18,341230,8402,26,96066,5867,18,23132,5263,21,175030,9661,127,2655,6729,2,32930,5824,3,1617,2705,1,6346,1643,1
